category_name,category_href,category_url,item_id,item_type,name,asset_name,rarity,level,price,price_id,image_role,phase_index,phase_name,image_path,image_url,local_path,phase_slot,seconds
超变果实,/items/17,https://jsq.gptvip.chat/items/17,49001,17,哈哈小南瓜,Crop_9001,3,41,,,main,0,主图,plant/model/v4/Crop_9001_Seed.png,https://jsq.gptvip.chat/images/plant/model/v4/Crop_9001_Seed.png,超变果实/哈哈小南瓜/哈哈小南瓜_00_主图.png,,
超变果实,/items/17,https://jsq.gptvip.chat/items/17,49001,17,哈哈小南瓜,Crop_9001,3,41,,,phase,1,种子,plant/model/v4/Crop_9001_Seed.png,https://jsq.gptvip.chat/images/plant/model/v4/Crop_9001_Seed.png,超变果实/哈哈小南瓜/哈哈小南瓜_01_种子.png,Seed,8640
超变果实,/items/17,https://jsq.gptvip.chat/items/17,46109,17,荷花,Crop_6109,3,200,,,main,0,主图,plant/model/v4/Crop_6109_6.png,https://jsq.gptvip.chat/images/plant/model/v4/Crop_6109_6.png,超变果实/荷花/荷花_00_主图.png,,
超变果实,/items/17,https://jsq.gptvip.chat/items/17,46109,17,荷花,Crop_6109,3,200,,,phase,1,种子,plant/model/v4/Crop_6109_Seed.png,https://jsq.gptvip.chat/images/plant/model/v4/Crop_6109_Seed.png,超变果实/荷花/荷花_01_种子.png,Seed,8640
超变果实,/items/17,https://jsq.gptvip.chat/items/17,46109,17,荷花,Crop_6109,3,200,,,phase,2,发芽,plant/model/v4/Crop_6109_2.png,https://jsq.gptvip.chat/images/plant/model/v4/Crop_6109_2.png,超变果实/荷花/荷花_02_发芽.png,2,8640
超变果实,/items/17,https://jsq.gptvip.chat/items/17,46109,17,荷花,Crop_6109,3,200,,,phase,3,小叶子,plant/model/v4/Crop_6109_3.png,https://jsq.gptvip.chat/images/plant/model/v4/Crop_6109_3.png,超变果实/荷花/荷花_03_小叶子.png,3,8640
超变果实,/items/17,https://jsq.gptvip.chat/items/17,46109,17,荷花,Crop_6109,3,200,,,phase,4,大叶子,plant/model/v4/Crop_6109_4.png,https://jsq.gptvip.chat/images/plant/model/v4/Crop_6109_4.png,超变果实/荷花/荷花_04_大叶子.png,4,8640
超变果实,/items/17,https://jsq.gptvip.chat/items/17,46109,17,荷花,Crop_6109,3,200,,,phase,5,花蕾,plant/model/v4/Crop_6109_5.png,https://jsq.gptvip.chat/images/plant/model/v4/Crop_6109_5.png,超变果实/荷花/荷花_05_花蕾.png,5,8640
超变果实,/items/17,https://jsq.gptvip.chat/items/17,46109,17,荷花,Crop_6109,3,200,,,phase,6,盛开,plant/model/v4/Crop_6109_6.png,https://jsq.gptvip.chat/images/plant/model/v4/Crop_6109_6.png,超变果实/荷花/荷花_06_盛开.png,6,0
超变果实,/items/17,https://jsq.gptvip.chat/items/17,40804,17,绵绵糖果,Crop_804,2,41,,,main,0,主图,plant/model/v4/Crop_804_6.png,https://jsq.gptvip.chat/images/plant/model/v4/Crop_804_6.png,超变果实/绵绵糖果/绵绵糖果_00_主图.png,,
