category_name,category_href,item_id,item_name,phase_index,phase_slot,phase_name,seconds,image_path,image_url
超变果实,/items/17,49001,哈哈小南瓜,1,Seed,种子,8640,plant/model/v4/Crop_9001_Seed.png,https://jsq.gptvip.chat/images/plant/model/v4/Crop_9001_Seed.png
超变果实,/items/17,49001,哈哈小南瓜,2,2,发芽,8640,,
超变果实,/items/17,49001,哈哈小南瓜,3,3,小叶子,8640,,
超变果实,/items/17,49001,哈哈小南瓜,4,4,大叶子,8640,,
超变果实,/items/17,49001,哈哈小南瓜,5,5,开花,8640,,
超变果实,/items/17,49001,哈哈小南瓜,6,6,成熟,0,,
超变果实,/items/17,46109,荷花,1,Seed,种子,8640,plant/model/v4/Crop_6109_Seed.png,https://jsq.gptvip.chat/images/plant/model/v4/Crop_6109_Seed.png
超变果实,/items/17,46109,荷花,2,2,发芽,8640,plant/model/v4/Crop_6109_2.png,https://jsq.gptvip.chat/images/plant/model/v4/Crop_6109_2.png
超变果实,/items/17,46109,荷花,3,3,小叶子,8640,plant/model/v4/Crop_6109_3.png,https://jsq.gptvip.chat/images/plant/model/v4/Crop_6109_3.png
超变果实,/items/17,46109,荷花,4,4,大叶子,8640,plant/model/v4/Crop_6109_4.png,https://jsq.gptvip.chat/images/plant/model/v4/Crop_6109_4.png
超变果实,/items/17,46109,荷花,5,5,花蕾,8640,plant/model/v4/Crop_6109_5.png,https://jsq.gptvip.chat/images/plant/model/v4/Crop_6109_5.png
超变果实,/items/17,46109,荷花,6,6,盛开,0,plant/model/v4/Crop_6109_6.png,https://jsq.gptvip.chat/images/plant/model/v4/Crop_6109_6.png
超变果实,/items/17,40804,绵绵糖果,1,Seed,种子,5760,plant/model/v4/Crop_804_Seed.png,https://jsq.gptvip.chat/images/plant/model/v4/Crop_804_Seed.png
超变果实,/items/17,40804,绵绵糖果,2,2,发芽,5760,plant/model/v4/Crop_804_2.png,https://jsq.gptvip.chat/images/plant/model/v4/Crop_804_2.png
超变果实,/items/17,40804,绵绵糖果,3,3,小叶子,5760,plant/model/v4/Crop_804_3.png,https://jsq.gptvip.chat/images/plant/model/v4/Crop_804_3.png
超变果实,/items/17,40804,绵绵糖果,4,4,大叶子,5760,plant/model/v4/Crop_804_4.png,https://jsq.gptvip.chat/images/plant/model/v4/Crop_804_4.png
超变果实,/items/17,40804,绵绵糖果,5,5,开花,5760,plant/model/v4/Crop_804_5.png,https://jsq.gptvip.chat/images/plant/model/v4/Crop_804_5.png
超变果实,/items/17,40804,绵绵糖果,6,6,成熟,0,plant/model/v4/Crop_804_6.png,https://jsq.gptvip.chat/images/plant/model/v4/Crop_804_6.png
超变果实,/items/17,1040112,黄金·风信子,1,Seed,种子,4800,plant/model/v4/gold/Crop_112_Seed.png,https://jsq.gptvip.chat/images/plant/model/v4/gold/Crop_112_Seed.png
超变果实,/items/17,1040112,黄金·风信子,2,2,发芽,4800,plant/model/v4/gold/Crop_112_2.png,https://jsq.gptvip.chat/images/plant/model/v4/gold/Crop_112_2.png
超变果实,/items/17,1040112,黄金·风信子,3,3,小叶子,4800,plant/model/v4/gold/Crop_112_3.png,https://jsq.gptvip.chat/images/plant/model/v4/gold/Crop_112_3.png
超变果实,/items/17,1040112,黄金·风信子,4,4,大叶子,7200,plant/model/v4/gold/Crop_112_4.png,https://jsq.gptvip.chat/images/plant/model/v4/gold/Crop_112_4.png
超变果实,/items/17,1040112,黄金·风信子,5,5,初熟,7200,plant/model/v4/gold/Crop_112_5.png,https://jsq.gptvip.chat/images/plant/model/v4/gold/Crop_112_5.png
超变果实,/items/17,1040112,黄金·风信子,6,6,成熟,0,plant/model/v4/gold/Crop_112_6.png,https://jsq.gptvip.chat/images/plant/model/v4/gold/Crop_112_6.png
超变果实,/items/17,1040025,黄金·银杏树苗,1,Seed,种子,4800,plant/model/v4/gold/Crop_25_Seed.png,https://jsq.gptvip.chat/images/plant/model/v4/gold/Crop_25_Seed.png
超变果实,/items/17,1040025,黄金·银杏树苗,2,2,发芽,4800,plant/model/v4/gold/Crop_25_2.png,https://jsq.gptvip.chat/images/plant/model/v4/gold/Crop_25_2.png
超变果实,/items/17,1040025,黄金·银杏树苗,3,3,小叶子,4800,plant/model/v4/gold/Crop_25_3.png,https://jsq.gptvip.chat/images/plant/model/v4/gold/Crop_25_3.png
超变果实,/items/17,1040025,黄金·银杏树苗,4,4,大叶子,7200,plant/model/v4/gold/Crop_25_4.png,https://jsq.gptvip.chat/images/plant/model/v4/gold/Crop_25_4.png
超变果实,/items/17,1040025,黄金·银杏树苗,5,5,长枝,7200,plant/model/v4/gold/Crop_25_5.png,https://jsq.gptvip.chat/images/plant/model/v4/gold/Crop_25_5.png
