category_name,category_href,type,item_id,name,level,rarity,rarity_color,price,price_id,max_count,max_own,can_use,duration,asset_name,icon_file,icon_url,icon_res,desc,effect_desc,interaction_type,jumps,layer,target_id,sell_cond,ware_scale,phase_count,phase_names,phase_paths
超变果实,/items/17,17,49001,哈哈小南瓜,41,3,B09DED,,,99999,999990,,,Crop_9001,plant/model/v4/Crop_9001_Seed.png,https://jsq.gptvip.chat/images/plant/model/v4/Crop_9001_Seed.png,,活动期间出售，可以获得南瓜印章；活动结束后出售，可以获得金币。,卖给商人后，可以获得金币。,,[43],,,活动结束后:2026030202,,6,种子|发芽|小叶子|大叶子|开花|成熟,plant/model/v4/Crop_9001_Seed.png|||||
超变果实,/items/17,17,46109,荷花,200,3,B09DED,,,99999,999990,,,Crop_6109,plant/model/v4/Crop_6109_6.png,https://jsq.gptvip.chat/images/plant/model/v4/Crop_6109_6.png,,活动期间收获，可以获得游记积分；出售可以获得金币。,卖给商人后，可以获得金币。,,[47],,,,,6,种子|发芽|小叶子|大叶子|花蕾|盛开,plant/model/v4/Crop_6109_Seed.png|plant/model/v4/Crop_6109_2.png|plant/model/v4/Crop_6109_3.png|plant/model/v4/Crop_6109_4.png|plant/model/v4/Crop_6109_5.png|plant/model/v4/Crop_6109_6.png
超变果实,/items/17,17,40804,绵绵糖果,41,2,A8C1F4,,,99999,999990,,,Crop_804,plant/model/v4/Crop_804_6.png,https://jsq.gptvip.chat/images/plant/model/v4/Crop_804_6.png,,绵绵变异获得的果实，卖给商人后，可以获得金豆豆。,卖给商人后，可以获得金豆豆。,,[45],,,,,6,种子|发芽|小叶子|大叶子|开花|成熟,plant/model/v4/Crop_804_Seed.png|plant/model/v4/Crop_804_2.png|plant/model/v4/Crop_804_3.png|plant/model/v4/Crop_804_4.png|plant/model/v4/Crop_804_5.png|plant/model/v4/Crop_804_6.png
超变果实,/items/17,17,1040112,黄金·风信子,200,2,A8C1F4,,,99999,999990,,,gold/Crop_112,plant/model/v4/gold/Crop_112_6.png,https://jsq.gptvip.chat/images/plant/model/v4/gold/Crop_112_6.png,,黄金变异获得的果实，卖给商人后，可以获得金豆豆。,卖给商人后，可以获得金豆豆。,,[41],,,,,6,种子|发芽|小叶子|大叶子|初熟|成熟,plant/model/v4/gold/Crop_112_Seed.png|plant/model/v4/gold/Crop_112_2.png|plant/model/v4/gold/Crop_112_3.png|plant/model/v4/gold/Crop_112_4.png|plant/model/v4/gold/Crop_112_5.png|plant/model/v4/gold/Crop_112_6.png
超变果实,/items/17,17,1040025,黄金·银杏树苗,200,2,A8C1F4,,,99999,999990,,,gold/Crop_25,plant/model/v4/gold/Crop_25_6.png,https://jsq.gptvip.chat/images/plant/model/v4/gold/Crop_25_6.png,,黄金变异获得的果实，卖给商人后，可以获得金豆豆。,卖给商人后，可以获得金豆豆。,,[41],,,,,6,种子|发芽|小叶子|大叶子|长枝|成苗,plant/model/v4/gold/Crop_25_Seed.png|plant/model/v4/gold/Crop_25_2.png|plant/model/v4/gold/Crop_25_3.png|plant/model/v4/gold/Crop_25_4.png|plant/model/v4/gold/Crop_25_5.png|plant/model/v4/gold/Crop_25_6.png
超变果实,/items/17,17,1040121,黄金·蔷薇,200,2,A8C1F4,,,99999,999990,,,gold/Crop_121,plant/model/v4/gold/Crop_121_6.png,https://jsq.gptvip.chat/images/plant/model/v4/gold/Crop_121_6.png,,黄金变异获得的果实，卖给商人后，可以获得金豆豆。,卖给商人后，可以获得金豆豆。,,[41],,,,,6,种子|发芽|小叶子|大叶子|初熟|成熟,plant/model/v4/gold/Crop_121_Seed.png|plant/model/v4/gold/Crop_121_2.png|plant/model/v4/gold/Crop_121_3.png|plant/model/v4/gold/Crop_121_4.png|plant/model/v4/gold/Crop_121_5.png|plant/model/v4/gold/Crop_121_6.png
超变果实,/items/17,17,1040109,黄金·蝴蝶兰,200,2,A8C1F4,,,99999,999990,,,gold/Crop_109,plant/model/v4/gold/Crop_109_6.png,https://jsq.gptvip.chat/images/plant/model/v4/gold/Crop_109_6.png,,黄金变异获得的果实，卖给商人后，可以获得金豆豆。,卖给商人后，可以获得金豆豆。,,[41],,,,,6,种子|发芽|小叶子|大叶子|花蕾|盛开,plant/model/v4/gold/Crop_109_Seed.png|plant/model/v4/gold/Crop_109_2.png|plant/model/v4/gold/Crop_109_3.png|plant/model/v4/gold/Crop_109_4.png|plant/model/v4/gold/Crop_109_5.png|plant/model/v4/gold/Crop_109_6.png
超变果实,/items/17,17,1040224,黄金·昙花,201,3,B09DED,,,99999,999990,,,gold/Crop_224,plant/model/v4/gold/Crop_224_6.png,https://jsq.gptvip.chat/images/plant/model/v4/gold/Crop_224_6.png,,黄金变异获得的果实，卖给商人后，可以获得金豆豆。,卖给商人后，可以获得金豆豆。,,[41],,,,,6,种子|发芽|小叶子|大叶子|初熟|成熟,plant/model/v4/gold/Crop_224_Seed.png|plant/model/v4/gold/Crop_224_2.png|plant/model/v4/gold/Crop_224_3.png|plant/model/v4/gold/Crop_224_4.png|plant/model/v4/gold/Crop_224_5.png|plant/model/v4/gold/Crop_224_6.png
超变果实,/items/17,17,1040249,黄金·荷包牡丹,201,3,B09DED,,,99999,999990,,,gold/Crop_249,plant/model/v4/gold/Crop_249_6.png,https://jsq.gptvip.chat/images/plant/model/v4/gold/Crop_249_6.png,,黄金变异获得的果实，卖给商人后，可以获得金豆豆。,卖给商人后，可以获得金豆豆。,,[41],,,,,6,种子|发芽|小叶子|大叶子|花蕾|盛开,plant/model/v4/gold/Crop_249_Seed.png|plant/model/v4/gold/Crop_249_2.png|plant/model/v4/gold/Crop_249_3.png|plant/model/v4/gold/Crop_249_4.png|plant/model/v4/gold/Crop_249_5.png|plant/model/v4/gold/Crop_249_6.png
超变果实,/items/17,17,1041135,黄金·艾草,200,2,A8C1F4,,,99999,999990,,,gold/Crop_1135,plant/model/v4/gold/Crop_1135_6.png,https://jsq.gptvip.chat/images/plant/model/v4/gold/Crop_1135_6.png,,黄金变异获得的果实，卖给商人后，可以获得金豆豆。,卖给商人后，可以获得金豆豆。,,[42],,,,,6,种子|发芽|小叶子|大叶子|初熟|成熟,plant/model/v4/gold/Crop_1135_Seed.png|plant/model/v4/gold/Crop_1135_2.png|plant/model/v4/gold/Crop_1135_3.png|plant/model/v4/gold/Crop_1135_4.png|plant/model/v4/gold/Crop_1135_5.png|plant/model/v4/gold/Crop_1135_6.png
超变果实,/items/17,17,1040184,黄金·卡特兰,21,2,A8C1F4,,,99999,999990,,,gold/Crop_184,plant/model/v4/gold/Crop_184_6.png,https://jsq.gptvip.chat/images/plant/model/v4/gold/Crop_184_6.png,,黄金变异获得的果实，卖给商人后，可以获得金豆豆。,卖给商人后，可以获得金豆豆。,,[43],,,,,6,种子|发芽|小叶|大叶|花蕾|开花,plant/model/v4/gold/Crop_184_Seed.png|plant/model/v4/gold/Crop_184_2.png|plant/model/v4/gold/Crop_184_3.png|plant/model/v4/gold/Crop_184_4.png|plant/model/v4/gold/Crop_184_5.png|plant/model/v4/gold/Crop_184_6.png
超变果实,/items/17,17,1040193,黄金·红云飞片,21,2,A8C1F4,,,99999,999990,,,gold/Crop_193,plant/model/v4/gold/Crop_193_6.png,https://jsq.gptvip.chat/images/plant/model/v4/gold/Crop_193_6.png,,黄金变异获得的果实，卖给商人后，可以获得金豆豆。,卖给商人后，可以获得金豆豆。,,[43],,,,,6,种子|发芽|小叶|大叶|花蕾|开花,plant/model/v4/gold/Crop_193_Seed.png|plant/model/v4/gold/Crop_193_2.png|plant/model/v4/gold/Crop_193_3.png|plant/model/v4/gold/Crop_193_4.png|plant/model/v4/gold/Crop_193_5.png|plant/model/v4/gold/Crop_193_6.png
超变果实,/items/17,17,1040256,黄金·石竹花,21,2,A8C1F4,,,99999,999990,,,gold/Crop_256,plant/model/v4/gold/Crop_256_6.png,https://jsq.gptvip.chat/images/plant/model/v4/gold/Crop_256_6.png,,黄金变异获得的果实，卖给商人后，可以获得金豆豆。,卖给商人后，可以获得金豆豆。,,[43],,,,,6,种子|发芽|小叶|大叶|花蕾|开花,plant/model/v4/gold/Crop_256_Seed.png|plant/model/v4/gold/Crop_256_2.png|plant/model/v4/gold/Crop_256_3.png|plant/model/v4/gold/Crop_256_4.png|plant/model/v4/gold/Crop_256_5.png|plant/model/v4/gold/Crop_256_6.png
超变果实,/items/17,17,1040261,黄金·针垫花,21,2,A8C1F4,,,99999,999990,,,gold/Crop_261,plant/model/v4/gold/Crop_261_6.png,https://jsq.gptvip.chat/images/plant/model/v4/gold/Crop_261_6.png,,黄金变异获得的果实，卖给商人后，可以获得金豆豆。,卖给商人后，可以获得金豆豆。,,[43],,,,,6,种子|发芽|小叶|大叶|花蕾|开花,plant/model/v4/gold/Crop_261_Seed.png|plant/model/v4/gold/Crop_261_2.png|plant/model/v4/gold/Crop_261_3.png|plant/model/v4/gold/Crop_261_4.png|plant/model/v4/gold/Crop_261_5.png|plant/model/v4/gold/Crop_261_6.png
超变果实,/items/17,17,1040257,黄金·孔雀草,41,3,B09DED,,,99999,999990,,,gold/Crop_257,plant/model/v4/gold/Crop_257_6.png,https://jsq.gptvip.chat/images/plant/model/v4/gold/Crop_257_6.png,,黄金变异获得的果实，卖给商人后，可以获得金豆豆。,卖给商人后，可以获得金豆豆。,,[43],,,,,6,种子|发芽|小叶子|大叶子|花蕾|盛开,plant/model/v4/gold/Crop_257_Seed.png|plant/model/v4/gold/Crop_257_2.png|plant/model/v4/gold/Crop_257_3.png|plant/model/v4/gold/Crop_257_4.png|plant/model/v4/gold/Crop_257_5.png|plant/model/v4/gold/Crop_257_6.png
超变果实,/items/17,17,1040258,黄金·欧石楠,41,3,B09DED,,,99999,999990,,,gold/Crop_258,plant/model/v4/gold/Crop_258_6.png,https://jsq.gptvip.chat/images/plant/model/v4/gold/Crop_258_6.png,,黄金变异获得的果实，卖给商人后，可以获得金豆豆。,卖给商人后，可以获得金豆豆。,,[43],,,,,6,种子|发芽|小叶|大叶|花蕾|开花,plant/model/v4/gold/Crop_258_Seed.png|plant/model/v4/gold/Crop_258_2.png|plant/model/v4/gold/Crop_258_3.png|plant/model/v4/gold/Crop_258_4.png|plant/model/v4/gold/Crop_258_5.png|plant/model/v4/gold/Crop_258_6.png
超变果实,/items/17,17,1040304,黄金·黄金果,81,3,B09DED,,,99999,999990,,,gold/Crop_304,plant/model/v4/gold/Crop_304_6.png,https://jsq.gptvip.chat/images/plant/model/v4/gold/Crop_304_6.png,,黄金变异获得的果实，卖给商人后，可以获得金豆豆。,卖给商人后，可以获得金豆豆。,,[43],,,,,6,种子|发芽|小叶子|大叶子|开花|成熟,plant/model/v4/gold/Crop_304_Seed.png|plant/model/v4/gold/Crop_304_2.png|plant/model/v4/gold/Crop_304_3.png|plant/model/v4/gold/Crop_304_4.png|plant/model/v4/gold/Crop_304_5.png|plant/model/v4/gold/Crop_304_6.png
超变果实,/items/17,17,1040046,黄金·爱心果,202,4,D1A21E,,,99999,999990,,,gold/Crop_46,plant/model/v4/gold/Crop_46_6.png,https://jsq.gptvip.chat/images/plant/model/v4/gold/Crop_46_6.png,,黄金变异获得的果实，卖给商人后，可以获得金豆豆。,卖给商人后，可以获得金豆豆。,,[41],,,,,6,种子|发芽|小叶子|大叶子|初熟|成熟,plant/model/v4/gold/Crop_46_Seed.png|plant/model/v4/gold/Crop_46_2.png|plant/model/v4/gold/Crop_46_3.png|plant/model/v4/gold/Crop_46_4.png|plant/model/v4/gold/Crop_46_5.png|plant/model/v4/gold/Crop_46_6.png
超变果实,/items/17,17,1040416,黄金·哈哈南瓜,31,4,D1A21E,,,99999,999990,,,gold/Crop_416,plant/model/v4/Crop_416_6.png,https://jsq.gptvip.chat/images/plant/model/v4/Crop_416_6.png,,活动期间出售，可以获得金豆豆和南瓜印章；活动结束后出售，可以获得金豆豆。,卖给商人后，可以获得金豆豆。,,[43],,,活动结束后:2026030202,,6,种子|发芽|小叶子|大叶子|开花|成熟,plant/model/v4/gold/Crop_416_Seed.png|plant/model/v4/Crop_416_2.png|plant/model/v4/Crop_416_3.png|plant/model/v4/Crop_416_4.png|plant/model/v4/Crop_416_5.png|plant/model/v4/Crop_416_6.png
超变果实,/items/17,17,1049001,黄金·哈哈小南瓜,41,3,B09DED,,,99999,999990,,,gold/Crop_9001,plant/model/v4/gold/Crop_9001_Seed.png,https://jsq.gptvip.chat/images/plant/model/v4/gold/Crop_9001_Seed.png,,活动期间出售，可以获得金豆豆和南瓜印章；活动结束后出售，可以获得金豆豆。,卖给商人后，可以获得金豆豆。,,[43],,,活动结束后:2026030202,,6,种子|发芽|小叶子|大叶子|开花|成熟,plant/model/v4/gold/Crop_9001_Seed.png|||||
超变果实,/items/17,17,1040122,黄金·丁香花,200,2,A8C1F4,,,99999,999990,,,gold/Crop_122,plant/model/v4/gold/Crop_122_6.png,https://jsq.gptvip.chat/images/plant/model/v4/gold/Crop_122_6.png,,黄金变异获得的果实，卖给商人后，可以获得金豆豆。,卖给商人后，可以获得金豆豆。,,,,,,,6,种子|发芽|小叶子|大叶子|初熟|成熟,plant/model/v4/gold/Crop_122_Seed.png|plant/model/v4/gold/Crop_122_2.png|plant/model/v4/gold/Crop_122_3.png|plant/model/v4/gold/Crop_122_4.png|plant/model/v4/gold/Crop_122_5.png|plant/model/v4/gold/Crop_122_6.png
超变果实,/items/17,17,1040134,黄金·绿牡丹,200,2,A8C1F4,,,99999,999990,,,gold/Crop_134,plant/model/v4/gold/Crop_134_6.png,https://jsq.gptvip.chat/images/plant/model/v4/gold/Crop_134_6.png,,黄金变异获得的果实，卖给商人后，可以获得金豆豆。,卖给商人后，可以获得金豆豆。,,,,,,,6,种子|发芽|小叶子|大叶子|花蕾|盛开,plant/model/v4/gold/Crop_134_Seed.png|plant/model/v4/gold/Crop_134_2.png|plant/model/v4/gold/Crop_134_3.png|plant/model/v4/gold/Crop_134_4.png|plant/model/v4/gold/Crop_134_5.png|plant/model/v4/gold/Crop_134_6.png
超变果实,/items/17,17,1040139,黄金·糖槭树花,200,2,A8C1F4,,,99999,999990,,,gold/Crop_139,plant/model/v4/gold/Crop_139_6.png,https://jsq.gptvip.chat/images/plant/model/v4/gold/Crop_139_6.png,,黄金变异获得的果实，卖给商人后，可以获得金豆豆。,卖给商人后，可以获得金豆豆。,,,,,,,6,种子|发芽|小叶子|大叶子|花蕾|盛开,plant/model/v4/gold/Crop_139_Seed.png|plant/model/v4/gold/Crop_139_2.png|plant/model/v4/gold/Crop_139_3.png|plant/model/v4/gold/Crop_139_4.png|plant/model/v4/gold/Crop_139_5.png|plant/model/v4/gold/Crop_139_6.png
